world,goal_x,goal_y,start_x,start_y,straight_line_m,path_length_m,travel_time_s,final_pos_error_m,goal_reached
crossing_humans,7.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.92,7.0000,0
crossing_humans,0.8429,4.7429,0.0000,0.0000,4.8172,4.3099,4.73,0.5232,0
