time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,0.0000,,,,,,1,0
0.0000,0,1.4000,-6.0000,1.2000,,,,,,1,0
1.1700,0,1.4000,-6.0000,1.2000,,,,,,1,0
1.2600,0,1.4000,-5.8800,1.2000,,,,,,1,0
1.3500,0,1.4000,-5.7600,1.2000,,,,,,1,0
1.4300,0,1.4000,-5.6400,1.2000,,,,,,1,0
1.5100,0,1.4000,-5.5200,1.2000,,,,,,1,0
1.5900,0,1.4000,-5.4000,1.2000,,,,,,1,0
1.6700,0,1.4000,-5.4000,1.2000,,,,,,1,0
1.7600,0,1.4000,-5.2800,1.2000,,,,,,1,0
1.8500,0,1.4000,-5.1600,1.2000,,,,,,1,0
1.9300,0,1.4000,-5.0400,1.2000,,,,,,1,0
2.0100,0,1.4000,-4.9200,1.2000,,,,,,1,0
2.0900,0,1.4000,-4.8000,1.2000,,,,,,1,0
2.1700,0,1.4000,-4.8000,1.2000,,,,,,1,0
2.2500,0,1.4000,-4.6800,1.2000,,,,,,1,0
2.3300,0,1.4000,-4.5600,1.2000,,,,,,1,0
2.4100,0,1.4000,-4.4400,1.2000,,,,,,1,0
2.4900,0,1.4000,-4.3200,1.2000,,,,,,1,0
2.5800,0,1.4000,-4.3200,1.2000,,,,,,1,0
2.6600,0,1.4000,-4.2000,1.2000,,,,,,1,0
2.7500,0,1.4000,-4.0800,1.2000,,,,,,1,0
2.8300,0,1.4000,-3.9600,1.2000,,,,,,1,0
2.9100,0,1.4000,-3.8400,1.2000,,,,,,1,0
3.0000,0,1.4000,-3.7200,1.2000,,,,,,1,0
3.0800,0,1.4000,-3.6000,1.2000,,,,,,1,0
3.1700,0,1.4000,-3.6000,1.2000,,,,,,1,0
3.2500,0,1.4000,-3.4800,1.2000,,,,,,1,0
3.3300,0,1.4000,-3.3600,1.2000,,,,,,1,0
3.4100,0,1.4000,-3.2400,1.2000,,,,,,1,0
3.4900,0,1.4000,-3.1200,1.2000,,,,,,1,0
3.5700,0,1.4000,-3.1200,1.2000,,,,,,1,0
