time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
3.7800,0,3.4000,-2.7600,1.2000,,,,,,1,0
3.8700,0,3.4000,-2.7600,1.2000,,,,,,1,0
3.9200,0,3.4000,-2.6400,1.2000,,,,,,1,0
3.9700,0,3.4000,-2.5200,1.2000,,,,,,1,0
4.0200,0,3.4000,-2.5200,1.2000,,,,,,1,0
4.0700,0,3.4000,-2.4000,1.2000,,,,,,1,0
4.1100,0,3.4000,-2.4000,1.2000,,,,,,1,0
4.1500,0,3.4000,-2.2800,1.2000,,,,,,1,0
4.2100,0,3.4000,-2.1600,1.2000,,,,,,1,0
4.3000,0,3.4000,-2.1600,1.2000,,,,,,1,0
4.3900,0,3.4000,-2.0400,1.2000,,,,,,1,0
4.4700,0,3.4000,-2.0400,1.2000,,,,,,1,0
4.5600,0,3.4000,-1.8000,1.2000,,,,,,1,0
4.6400,0,3.4000,-1.8000,1.2000,,,,,,1,0
4.7300,0,3.4000,-1.6800,1.2000,,,,,,1,0
4.8100,0,3.4000,-1.5600,1.2000,,,,,,1,0
4.8900,0,3.4000,-1.4400,1.2000,,,,,,1,0
4.9700,0,3.4000,-1.3200,1.2000,,,,,,1,0
5.0500,0,3.4000,-1.3200,1.2000,,,,,,1,0
5.1300,0,3.4000,-1.2000,1.2000,0,3.6611,-1.4294,0.3476,0.0000,1,1
5.2100,0,3.4000,-1.0800,1.2000,0,3.6740,-1.3328,0.3728,0.0000,1,1
5.3200,0,3.4000,-0.8400,1.2000,0,3.7249,-1.2084,0.4912,0.0000,1,1
5.4100,0,3.4000,-0.8400,1.2000,0,3.7435,-1.0560,0.4057,0.0000,1,1
5.5000,0,3.4000,-0.7200,1.2000,0,3.7748,-0.8892,0.4112,0.7374,1,1
5.6100,0,3.4000,-0.6000,1.2000,0,3.7695,-0.7044,0.3840,1.1319,1,1
5.7200,0,3.4000,-0.4800,1.2000,0,3.7775,-0.5406,0.3823,1.3302,1,1
5.8300,0,3.4000,-0.3600,1.2000,0,3.7928,-0.3527,0.3929,1.4387,1,1
5.9400,0,3.4000,-0.2400,1.2000,0,3.7931,-0.1672,0.3998,1.5017,1,1
6.0500,0,3.4000,-0.1200,1.2000,0,3.7832,0.0021,0.4022,1.5360,1,1
6.1700,0,3.4000,0.0000,1.2000,0,3.7786,0.2193,0.4375,1.5609,1,1
6.2800,0,3.4000,0.1200,1.2000,0,3.7729,0.4148,0.4754,1.5815,1,1
6.3900,0,3.4000,0.2400,1.2000,0,3.7637,0.5768,0.4957,1.5943,1,1
6.5000,0,3.4000,0.3600,1.2000,0,3.7645,0.7679,0.5470,1.6041,1,1
6.6200,0,3.4000,0.4800,1.2000,0,3.7353,0.9287,0.5601,1.6072,1,1
6.7300,0,3.4000,0.6000,1.2000,0,3.7186,1.1041,0.5963,1.6148,1,1
6.8500,0,3.4000,0.7200,1.2000,0,3.6874,1.2299,0.5853,1.6080,1,1
6.9600,0,3.4000,0.8400,1.2000,0,3.6873,1.4068,0.6354,1.6080,1,1
7.0700,0,3.4000,0.9600,1.2000,0,3.6872,1.5836,0.6866,1.6080,1,1
7.1900,0,3.4000,1.0800,1.2000,0,3.6871,1.7766,0.7534,1.6080,1,1
7.3000,0,3.4000,1.2000,1.2000,0,3.6870,1.9535,0.8063,1.6080,1,1
7.4200,0,3.4000,1.3200,1.2000,0,3.6869,2.1464,0.8748,1.6080,1,1
7.5300,0,3.4000,1.4400,1.2000,0,3.6867,2.3233,0.9287,1.6080,1,1
7.6400,0,3.4000,1.5600,1.2000,0,3.6866,2.5002,0.9829,1.6080,1,1
7.7600,0,3.4000,1.6800,1.2000,,,,,,1,0
7.8400,0,3.4000,1.8000,1.2000,,,,,,1,0
7.9300,0,3.4000,1.9200,1.2000,,,,,,1,0
8.0100,0,3.4000,2.0400,1.2000,,,,,,1,0
8.0900,0,3.4000,2.1600,1.2000,,,,,,1,0
8.1700,0,3.4000,2.2800,1.2000,,,,,,1,0
8.2600,0,3.4000,2.4000,1.2000,,,,,,1,0
8.3500,0,3.4000,2.5200,1.2000,,,,,,1,0
8.4300,0,3.4000,2.6400,1.2000,,,,,,1,0
8.5000,0,3.4000,2.7600,1.2000,,,,,,1,0
8.5800,0,3.4000,2.8800,1.2000,,,,,,1,0
8.6600,0,3.4000,3.0000,1.2000,,,,,,1,0
8.7500,0,3.4000,3.1200,1.2000,,,,,,1,0
8.8300,0,3.4000,3.2400,1.2000,,,,,,1,0
8.9100,0,3.4000,3.3600,1.2000,,,,,,1,0
8.9900,0,3.4000,3.4800,1.2000,,,,,,1,0
9.0700,0,3.4000,3.4800,1.2000,,,,,,1,0
9.1500,0,3.4000,3.6000,1.2000,,,,,,1,0
9.2300,0,3.4000,3.7200,1.2000,,,,,,1,0
9.3100,0,3.4000,3.8400,1.2000,,,,,,1,0
9.3900,0,3.4000,3.9600,1.2000,,,,,,1,0
9.4700,0,3.4000,3.9600,1.2000,,,,,,1,0
9.5500,0,3.4000,4.0800,1.2000,,,,,,1,0
9.6300,0,3.4000,4.2000,1.2000,,,,,,1,0
9.7100,0,3.4000,4.3200,1.2000,,,,,,1,0
9.7900,0,3.4000,4.4400,1.2000,,,,,,1,0
9.8800,0,3.4000,4.4400,1.2000,,,,,,1,0
9.9600,0,3.4000,4.5600,1.2000,,,,,,1,0
10.0500,0,3.4000,4.6800,1.2000,,,,,,1,0
10.1200,0,3.4000,4.8000,1.2000,,,,,,1,0
10.2100,0,3.4000,4.9200,1.2000,,,,,,1,0
10.2800,0,3.4000,5.0400,1.2000,,,,,,1,0
10.3700,0,3.4000,5.0400,1.2000,,,,,,1,0
10.4500,0,3.4000,5.1600,1.2000,,,,,,1,0
10.5300,0,3.4000,5.2800,1.2000,,,,,,1,0
10.6100,0,3.4000,5.4000,1.2000,,,,,,1,0
10.6900,0,3.4000,5.5200,1.2000,,,,,,1,0
10.7700,0,3.4000,5.5200,1.2000,,,,,,1,0
10.8500,0,3.4000,5.7600,1.2000,,,,,,1,0
10.9200,0,3.4000,5.7600,1.2000,,,,,,1,0
11.0000,0,3.4000,5.8800,1.2000,,,,,,1,0
11.0800,0,3.4000,6.0000,0.0000,,,,,,1,0
11.1600,0,3.4000,6.0000,0.0000,,,,,,1,0
11.2400,0,3.4000,6.0000,0.0000,,,,,,1,0
11.3200,0,3.4000,6.0000,0.0000,,,,,,1,0
11.3900,0,3.4000,6.0000,0.0000,,,,,,1,0
11.4700,0,3.4000,6.0000,0.0000,,,,,,1,0
11.5500,0,3.4000,6.0000,0.0000,,,,,,1,0
11.6300,0,3.4000,6.0000,0.0000,,,,,,1,0
11.7100,0,3.4000,6.0000,0.0000,,,,,,1,0
11.8000,0,3.4000,6.0000,0.0000,,,,,,1,0
11.8800,0,3.4000,6.0000,0.0000,,,,,,1,0
11.9600,0,3.4000,5.9400,1.2000,,,,,,1,0
12.0400,0,3.4000,5.8200,1.2000,,,,,,1,0
12.1300,0,3.4000,5.7000,1.2000,,,,,,1,0
12.2000,0,3.4000,5.5800,1.2000,,,,,,1,0
12.2800,0,3.4000,5.4600,1.2000,,,,,,1,0
12.3600,0,3.4000,5.4600,1.2000,,,,,,1,0
12.4400,0,3.4000,5.3400,1.2000,,,,,,1,0
12.5300,0,3.4000,5.2200,1.2000,,,,,,1,0
12.6100,0,3.4000,5.1000,1.2000,,,,,,1,0
12.6900,0,3.4000,4.9800,1.2000,,,,,,1,0
12.7700,0,3.4000,4.9800,1.2000,,,,,,1,0
12.8500,0,3.4000,4.8600,1.2000,,,,,,1,0
12.9200,0,3.4000,4.7400,1.2000,,,,,,1,0
13.0000,0,3.4000,4.6200,1.2000,,,,,,1,0
13.0800,0,3.4000,4.5000,1.2000,,,,,,1,0
13.1600,0,3.4000,4.5000,1.2000,,,,,,1,0
13.2500,0,3.4000,4.3800,1.2000,,,,,,1,0
13.3300,0,3.4000,4.2600,1.2000,,,,,,1,0
13.4100,0,3.4000,4.1400,1.2000,,,,,,1,0
13.4900,0,3.4000,4.0200,1.2000,,,,,,1,0
13.5800,0,3.4000,4.0200,1.2000,,,,,,1,0
13.6600,0,3.4000,3.9000,1.2000,,,,,,1,0
13.7400,0,3.4000,3.7800,1.2000,,,,,,1,0
13.8200,0,3.4000,3.6600,1.2000,,,,,,1,0
13.9100,0,3.4000,3.5400,1.2000,,,,,,1,0
13.9900,0,3.4000,3.4200,1.2000,,,,,,1,0
14.0700,0,3.4000,3.4200,1.2000,,,,,,1,0
14.1500,0,3.4000,3.3000,1.2000,,,,,,1,0
14.2500,0,3.4000,3.0600,1.2000,,,,,,1,0
14.3300,0,3.4000,3.0600,1.2000,,,,,,1,0
14.4100,0,3.4000,2.9400,1.2000,,,,,,1,0
14.4900,0,3.4000,2.8200,1.2000,,,,,,1,0
14.5800,0,3.4000,2.8200,1.2000,,,,,,1,0
14.6700,0,3.4000,2.7000,1.2000,,,,,,1,0
14.7500,0,3.4000,2.5800,1.2000,,,,,,1,0
14.8300,0,3.4000,2.4600,1.2000,,,,,,1,0
14.9100,0,3.4000,2.3400,1.2000,,,,,,1,0
15.0000,0,3.4000,2.2200,1.2000,,,,,,1,0
15.0800,0,3.4000,2.2200,1.2000,,,,,,1,0
15.1700,0,3.4000,2.1000,1.2000,,,,,,1,0
15.2500,0,3.4000,1.9800,1.2000,,,,,,1,0
15.3400,0,3.4000,1.8600,1.2000,,,,,,1,0
15.4200,0,3.4000,1.7400,1.2000,,,,,,1,0
15.5100,0,3.4000,1.6200,1.2000,,,,,,1,0
15.5900,0,3.4000,1.5000,1.2000,,,,,,1,0
15.6800,0,3.4000,1.5000,1.2000,,,,,,1,0
15.7700,0,3.4000,1.3800,1.2000,,,,,,1,0
15.8500,0,3.4000,1.2600,1.2000,,,,,,1,0
15.9400,0,3.4000,1.1400,1.2000,,,,,,1,0
16.0200,0,3.4000,0.9000,1.2000,0,3.6297,1.2350,0.4062,0.0000,1,1
16.1200,0,3.4000,0.9000,1.2000,0,3.6315,1.1599,0.3481,0.0000,1,1
16.2100,0,3.4000,0.7800,1.2000,0,3.6324,1.0713,0.3727,0.0000,1,1
16.3200,0,3.4000,0.6600,1.2000,0,3.6375,0.9159,0.3491,0.0000,1,1
16.4100,0,3.4000,0.5400,1.2000,0,3.6601,0.7678,0.3457,0.6111,1,1
16.5100,0,3.4000,0.4200,1.2000,0,3.6841,0.6089,0.3412,0.9533,1,1
16.6200,0,3.4000,0.3000,1.2000,0,3.6726,0.4197,0.2978,1.1611,1,1
16.7200,0,3.4000,0.1800,1.2000,0,3.6901,0.2433,0.2969,1.2956,1,1
16.8300,0,3.4000,0.0600,1.2000,0,3.6947,0.0439,0.2952,1.3904,1,1
16.9400,0,3.4000,-0.0600,1.2000,0,3.6939,-0.1501,0.3073,1.4598,1,1
17.0500,0,3.4000,-0.1800,1.2000,0,3.7017,-0.3710,0.3570,1.5176,1,1
17.1600,0,3.4000,-0.3000,1.2000,0,3.6925,-0.5737,0.4006,1.5647,1,1
17.2800,0,3.4000,-0.4200,1.2000,0,3.6430,-0.7504,0.4101,1.5960,1,1
17.4000,0,3.4000,-0.5400,1.2000,0,3.6284,-0.9642,0.4818,1.6189,1,1
17.5300,0,3.4000,-0.6600,1.2000,0,3.6004,-1.1468,0.5265,1.6313,1,1
17.6600,0,3.4000,-0.7800,1.2000,0,3.6035,-1.3589,0.6136,1.6313,1,1
17.7800,0,3.4000,-0.9000,1.2000,0,3.6063,-1.5546,0.6863,1.6313,1,1
17.9100,0,3.4000,-1.0200,1.2000,0,3.6093,-1.7666,0.7754,1.6313,1,1
18.0300,0,3.4000,-1.1400,1.2000,0,3.6121,-1.9624,0.8493,1.6313,1,1
18.1400,0,3.4000,-1.2600,1.2000,0,3.6147,-2.1418,0.9076,1.6313,1,1
18.2700,0,3.4000,-1.7400,1.2000,0,3.6177,-2.3539,0.6513,1.6313,1,1
18.3800,0,3.4000,-1.7400,1.2000,,,,,,1,0
