world,goal_x,goal_y,start_x,start_y,straight_line_m,path_length_m,travel_time_s,final_pos_error_m,goal_reached
crossing_humans,7.0000,0.0000,0.0000,0.0000,7.0000,0.0000,20.13,7.0000,0
crossing_humans,6.6429,3.6571,0.0000,0.0000,7.5830,7.4537,6.13,0.3904,1
crossing_humans,2.2714,1.5429,6.3189,3.4814,4.4878,3.0651,2.33,1.4679,0
crossing_humans,2.8429,4.2857,3.6872,1.9306,2.5019,2.2733,2.12,0.3975,0
crossing_humans,8.7000,1.1429,3.0105,3.9253,6.3334,6.4332,5.45,0.3706,1
crossing_humans,3.5571,0.5714,8.3967,1.3182,4.8968,4.5365,3.89,0.3937,1
crossing_humans,0.9286,-3.7429,3.9070,0.6841,5.3357,6.4039,4.88,0.7839,0
crossing_humans,3.4429,4.4000,1.4344,-3.1441,7.8068,11.5057,8.96,0.3793,1
