time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
1.5100,0,7.4000,0.0000,0.0000,0,7.7215,0.0136,0.3218,0.0000,1,1
1.6100,0,7.4000,0.0000,0.0000,0,7.7159,0.0134,0.3162,0.0000,1,1
1.7100,0,7.4000,0.0000,0.0000,0,7.7123,0.0100,0.3124,0.0000,1,1
1.8100,0,7.4000,0.0000,0.0000,0,7.7164,0.0083,0.3165,0.0000,1,1
1.9200,0,7.4000,0.0000,0.0000,0,7.7166,0.0074,0.3167,0.0000,1,1
2.0200,0,7.4000,0.0000,0.0000,0,7.7053,0.0037,0.3053,0.0000,1,1
2.1200,0,7.4000,0.0000,0.0000,0,7.7126,0.0019,0.3126,0.0000,1,1
2.2200,0,7.4000,0.0000,0.0000,0,7.6952,0.0009,0.2952,0.0000,1,1
2.3200,0,7.4000,0.0000,0.0000,0,7.6886,-0.0061,0.2886,0.0000,1,1
2.4200,0,7.4000,0.0000,0.0000,0,7.6916,-0.0129,0.2918,0.0000,1,1
2.5200,0,7.4000,0.0000,0.0000,0,7.6897,-0.0196,0.2903,0.0000,1,1
2.6300,0,7.4000,0.0000,0.0000,0,7.6919,-0.0230,0.2928,0.0000,1,1
2.7200,0,7.4000,0.0000,0.0000,0,7.6930,-0.0279,0.2943,0.0000,1,1
2.8300,0,7.4000,0.0000,0.0000,0,7.6989,-0.0370,0.3012,0.0000,1,1
2.9300,0,7.4000,0.0000,0.0000,0,7.6991,-0.0416,0.3020,0.0000,1,1
3.0300,0,7.4000,0.0000,0.0000,0,7.6992,-0.0438,0.3024,0.0000,1,1
3.1300,0,7.4000,0.0000,0.0000,0,7.7037,-0.0450,0.3070,0.0000,1,1
3.2300,0,7.4000,0.0000,0.0000,0,7.7091,-0.0489,0.3129,0.0000,1,1
3.3400,0,7.4000,0.0000,0.0000,0,7.7074,-0.0508,0.3116,0.0000,1,1
3.4400,0,7.4000,0.0000,0.0000,0,7.7146,-0.0518,0.3188,0.0000,1,1
3.5400,0,7.4000,0.0000,0.0000,0,7.7179,-0.0490,0.3216,0.0000,1,1
3.6300,0,7.4000,0.0000,0.0000,0,7.7189,-0.0476,0.3225,0.0000,1,1
3.7400,0,7.4000,0.0000,0.0000,0,7.7174,-0.0469,0.3208,0.0000,1,1
3.8400,0,7.4000,0.0000,0.0000,0,7.7204,-0.0466,0.3238,0.0000,1,1
3.9400,0,7.4000,0.0000,0.0000,0,7.7262,-0.0464,0.3295,0.0000,1,1
4.0500,0,7.4000,0.0000,0.0000,0,7.7218,-0.0430,0.3247,0.0000,1,1
4.1500,0,7.4000,0.0000,0.0000,0,7.7369,-0.0414,0.3395,0.0000,1,1
4.2600,0,7.4000,0.0000,0.0000,0,7.7331,-0.0405,0.3356,0.0000,1,1
4.3600,0,7.4000,0.0000,0.0000,0,7.7302,-0.0401,0.3326,0.0000,1,1
4.4700,0,7.4000,0.0000,0.0000,0,7.7259,-0.0366,0.3279,0.0000,1,1
4.5800,0,7.4000,0.0000,0.0000,0,7.7218,-0.0348,0.3237,0.0000,1,1
4.6700,0,7.4000,0.0000,0.0000,0,7.7100,-0.0306,0.3115,0.0000,1,1
4.7700,0,7.4000,0.0000,0.0000,0,7.7198,-0.0252,0.3208,0.0000,1,1
4.8800,0,7.4000,0.0000,0.0000,0,7.7181,-0.0258,0.3192,0.0000,1,1
4.9800,0,7.4000,0.0000,0.0000,0,7.7316,-0.0228,0.3324,0.0000,1,1
5.0900,0,7.4000,0.0000,0.0000,0,7.7293,-0.0213,0.3300,0.0000,1,1
5.1900,0,7.4000,0.0000,0.0000,0,7.7243,-0.0173,0.3247,0.0000,1,1
5.3000,0,7.4000,0.0000,0.0000,0,7.7235,-0.0152,0.3239,0.0000,1,1
5.3900,0,7.4000,0.0000,0.0000,0,7.7181,-0.0109,0.3183,0.0000,1,1
