time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
1.3000,0,5.4000,0.0000,0.0000,0,5.7363,0.0144,0.3366,0.0000,1,1
1.4800,0,5.4000,0.0000,0.0000,0,5.7387,0.0144,0.3390,0.0000,1,1
1.6000,0,5.4000,0.0000,0.0000,0,5.7237,0.0144,0.3240,0.0000,1,1
1.6900,0,5.4000,0.0000,0.0000,0,5.7208,0.0120,0.3210,0.0000,1,1
1.8000,0,5.4000,0.0000,0.0000,0,5.7038,0.0108,0.3040,0.0000,1,1
1.9000,0,5.4000,0.0000,0.0000,0,5.6936,0.0054,0.2937,0.0000,1,1
2.0000,0,5.4000,0.0000,0.0000,0,5.6883,0.0027,0.2883,0.0000,1,1
2.1000,0,5.4000,0.0000,0.0000,0,5.6829,-0.0010,0.2829,0.0000,1,1
2.2000,0,5.4000,0.0000,0.0000,0,5.6757,-0.0053,0.2758,0.0000,1,1
2.2900,0,5.4000,0.0000,0.0000,0,5.6753,-0.0121,0.2756,0.0000,1,1
2.3900,0,5.4000,0.0000,0.0000,0,5.6794,-0.0204,0.2801,0.0000,1,1
2.4900,0,5.4000,0.0000,0.0000,0,5.6788,-0.0245,0.2799,0.0000,1,1
2.6000,0,5.4000,0.0000,0.0000,0,5.6798,-0.0265,0.2811,0.0000,1,1
2.7100,0,5.4000,0.0000,0.0000,0,5.6822,-0.0323,0.2840,0.0000,1,1
2.8100,0,5.4000,0.0000,0.0000,0,5.6842,-0.0352,0.2863,0.0000,1,1
2.9100,0,5.4000,0.0000,0.0000,0,5.6948,-0.0391,0.2974,0.0000,1,1
3.0100,0,5.4000,0.0000,0.0000,0,5.7056,-0.0412,0.3084,0.0000,1,1
3.1100,0,5.4000,0.0000,0.0000,0,5.7019,-0.0445,0.3051,0.0000,1,1
3.2200,0,5.4000,0.0000,0.0000,0,5.7142,-0.0439,0.3172,0.0000,1,1
3.3200,0,5.4000,0.0000,0.0000,0,5.7275,-0.0460,0.3307,0.0000,1,1
3.4200,0,5.4000,0.0000,0.0000,0,5.7326,-0.0447,0.3356,0.0000,1,1
3.5300,0,5.4000,0.0000,0.0000,0,5.7231,-0.0439,0.3260,0.0000,1,1
3.6300,0,5.4000,0.0000,0.0000,0,5.7171,-0.0435,0.3200,0.0000,1,1
3.7400,0,5.4000,0.0000,0.0000,0,5.7130,-0.0433,0.3160,0.0000,1,1
3.8400,0,5.4000,0.0000,0.0000,0,5.7110,-0.0432,0.3140,0.0000,1,1
3.9400,0,5.4000,0.0000,0.0000,0,5.7054,-0.0431,0.3084,0.0000,1,1
4.0500,0,5.4000,0.0000,0.0000,0,5.7082,-0.0407,0.3109,0.0000,1,1
4.1500,0,5.4000,0.0000,0.0000,0,5.7162,-0.0372,0.3184,0.0000,1,1
4.2400,0,5.4000,0.0000,0.0000,0,5.7109,-0.0353,0.3129,0.0000,1,1
4.3400,0,5.4000,0.0000,0.0000,0,5.7065,-0.0368,0.3087,0.0000,1,1
4.4400,0,5.4000,0.0000,0.0000,0,5.7187,-0.0376,0.3209,0.0000,1,1
4.5500,0,5.4000,0.0000,0.0000,0,5.7236,-0.0380,0.3259,0.0000,1,1
4.6500,0,5.4000,0.0000,0.0000,0,5.7239,-0.0358,0.3259,0.0000,1,1
4.7600,0,5.4000,0.0000,0.0000,0,5.7159,-0.0323,0.3176,0.0000,1,1
4.8600,0,5.4000,0.0000,0.0000,0,5.7052,-0.0305,0.3068,0.0000,1,1
4.9500,0,5.4000,0.0000,0.0000,0,5.6997,-0.0296,0.3011,0.0000,1,1
5.0500,0,5.4000,0.0000,0.0000,0,5.6966,-0.0243,0.2976,0.0000,1,1
5.1500,0,5.4000,0.0000,0.0000,0,5.6954,-0.0217,0.2962,0.0000,1,1
5.2500,0,5.4000,0.0000,0.0000,0,5.6908,-0.0204,0.2916,0.0000,1,1
5.3500,0,5.4000,0.0000,0.0000,0,5.6971,-0.0174,0.2976,0.0000,1,1
5.4500,0,5.4000,0.0000,0.0000,0,5.6912,-0.0135,0.2915,0.0000,1,1
5.5500,0,5.4000,0.0000,0.0000,0,5.6959,-0.0067,0.2960,0.0000,1,1
5.6600,0,5.4000,0.0000,0.0000,0,5.6983,-0.0010,0.2983,0.0000,1,1
5.7600,0,5.4000,0.0000,0.0000,0,5.7003,0.0019,0.3003,0.0000,1,1
5.8600,0,5.4000,0.0000,0.0000,0,5.7073,0.0033,0.3073,0.0000,1,1
5.9700,0,5.4000,0.0000,0.0000,0,5.7068,0.0065,0.3069,0.0000,1,1
6.0700,0,5.4000,0.0000,0.0000,0,5.7101,0.0128,0.3104,0.0000,1,1
