world,goal_x,goal_y,start_x,start_y,straight_line_m,path_length_m,travel_time_s,final_pos_error_m,goal_reached
world3_cross_opposite,15.0000,0.0000,0.0000,0.0000,15.0000,11.5658,11.29,4.2996,0
world3_cross_opposite,7.8714,1.8000,10.7200,-0.4103,3.6055,3.3826,3.05,0.3958,1
