time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
1.1000,0,1.4000,0.0000,0.0000,,,,,,1,0
1.2600,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.3800,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.4700,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.5800,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.6700,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.7700,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.8700,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
1.9700,0,1.4000,0.0000,0.0000,0,1.7137,-0.0509,0.3178,0.0000,1,1
2.0700,0,1.4000,0.0000,0.0000,,,,,,1,0
2.1500,0,1.4000,0.0000,0.0000,,,,,,1,0
2.2400,0,1.4000,0.0000,0.0000,,,,,,1,0
2.3300,0,1.4000,0.0000,0.0000,,,,,,1,0
2.4000,0,1.4000,0.0000,0.0000,,,,,,1,0
2.4900,0,1.4000,0.0000,0.0000,,,,,,1,0
2.5700,0,1.4000,0.0000,0.0000,,,,,,1,0
2.6500,0,1.4000,0.0000,0.0000,,,,,,1,0
2.7300,0,1.4000,0.0000,0.0000,,,,,,1,0
2.8100,0,1.4000,0.0000,0.0000,,,,,,1,0
2.8900,0,1.4000,0.0000,0.0000,,,,,,1,0
2.9700,0,1.4000,0.0000,0.0000,,,,,,1,0
3.0600,0,1.4000,0.0000,0.0000,,,,,,1,0
3.1400,0,1.4000,0.0000,0.0000,0,1.7041,-0.1588,0.3430,0.0000,1,1
3.2400,0,1.4000,0.0000,0.0000,0,1.7041,-0.1588,0.3430,0.0000,1,1
3.3300,0,1.4000,0.0000,0.0000,0,1.7041,-0.1588,0.3430,0.0000,1,1
3.4300,0,1.4000,0.0000,0.0000,0,1.7041,-0.1588,0.3430,0.0000,1,1
3.5200,0,1.4000,0.0000,0.0000,0,1.7041,-0.1588,0.3430,0.0000,1,1
3.6100,0,1.4000,0.0000,0.0000,0,1.7041,-0.1588,0.3430,0.0000,1,1
3.7000,0,1.4000,0.0000,0.0000,0,1.7057,-0.0670,0.3129,0.0000,1,1
3.8000,0,1.4000,0.0000,0.0000,0,1.7073,-0.0217,0.3081,0.0000,1,1
3.9000,0,1.4000,0.0000,0.0000,0,1.7099,-0.0037,0.3099,0.0000,1,1
4.0100,0,1.4000,0.0000,0.0000,0,1.7124,0.0058,0.3124,0.0000,1,1
4.1000,0,1.4000,0.0000,0.0000,0,1.7124,0.0058,0.3124,0.0000,1,1
4.2000,0,1.4000,0.0000,0.0000,0,1.7124,0.0058,0.3124,0.0000,1,1
4.3000,0,1.4000,0.0000,0.0000,0,1.7124,0.0058,0.3124,0.0000,1,1
